bairro,dia_semana,hora_dia,tipo,pred_count
Candeias,Sunday,0,Homicídio,1.7152446299752315
Candeias,Sunday,0,Roubo,1.7101429688898688
Candeias,Sunday,0,Tráfico de drogas,1.6704284359418002
Candeias,Sunday,0,Violência doméstica,1.6942518761634604
Candeias,Sunday,0,Vandalismo,1.717503943640323
Candeias,Sunday,0,Estupro,1.682238282627459
Candeias,Sunday,0,Lesão corporal,1.6950208532263802
Candeias,Sunday,0,Sequestro,1.6791029113275853
Candeias,Sunday,0,Latrocínio,1.7043259400798738
Candeias,Sunday,0,Furto,1.6903951728329443
Candeias,Sunday,1,Homicídio,1.7177574399189335
Candeias,Sunday,1,Roubo,1.712648304969796
Candeias,Sunday,1,Tráfico de drogas,1.6728755907736668
Candeias,Sunday,1,Violência doméstica,1.6967339320096988
Candeias,Sunday,1,Vandalismo,1.7200200634476703
Candeias,Sunday,1,Estupro,1.6847027387233358
Candeias,Sunday,1,Lesão corporal,1.6975040356135078
Candeias,Sunday,1,Sequestro,1.6815627741473533
Candeias,Sunday,1,Latrocínio,1.7068227542920855
Candeias,Sunday,1,Furto,1.6928715786615063
Candeias,Sunday,2,Homicídio,1.720273931094865
Candeias,Sunday,2,Roubo,1.7151573113328447
Candeias,Sunday,2,Tráfico de drogas,1.6753263306539212
Candeias,Sunday,2,Violência doméstica,1.6992196240338346
Candeias,Sunday,2,Vandalismo,1.7225398693361522
Candeias,Sunday,2,Estupro,1.6871708052137158
Candeias,Sunday,2,Lesão corporal,1.6999908558288992
Candeias,Sunday,2,Sequestro,1.684026240632538
Candeias,Sunday,2,Latrocínio,1.7093232263029985
Candeias,Sunday,2,Furto,1.6953516123907668
Candeias,Sunday,3,Homicídio,1.7227941088959806
Candeias,Sunday,3,Roubo,1.7176699933559287
Candeias,Sunday,3,Tráfico de drogas,1.6777806608346102
Candeias,Sunday,3,Violência doméstica,1.7017089575628177
Candeias,Sunday,3,Vandalismo,1.7250633667058268
Candeias,Sunday,3,Estupro,1.6896424873877773
Candeias,Sunday,3,Lesão corporal,1.7024813192019232
Candeias,Sunday,3,Sequestro,1.6864933160624593
Candeias,Sunday,3,Latrocínio,1.711827361471238
Candeias,Sunday,3,Furto,1.69783527933555
Candeias,Sunday,4,Homicídio,1.7253179787231363
Candeias,Sunday,4,Roubo,1.7201863564238404
Candeias,Sunday,4,Tráfico de drogas,1.680238586575475
Candeias,Sunday,4,Violência doméstica,1.7042019379314037
Candeias,Sunday,4,Vandalismo,1.727590560964664
Candeias,Sunday,4,Estupro,1.692117790542448
Candeias,Sunday,4,Lesão corporal,1.7049754310697558
Candeias,Sunday,4,Sequestro,1.6889640057241724
Candeias,Sunday,4,Latrocínio,1.7143351651632797
Candeias,Sunday,4,Furto,1.7003225848184678
Candeias,Sunday,5,Homicídio,1.7278455459850994
Candeias,Sunday,5,Roubo,1.7227064059292598
Candeias,Sunday,5,Tráfico de drogas,1.682700113143962
Candeias,Sunday,5,Violência doméstica,1.7066985704821622
Candeias,Sunday,5,Vandalismo,1.7301214575285555
Candeias,Sunday,5,Estupro,1.6945967199824146
Candeias,Sunday,5,Lesão corporal,1.7074731967773924
Candeias,Sunday,5,Sequestro,1.6914383149124774
Candeias,Sunday,5,Latrocínio,1.71684664275346
Candeias,Sunday,5,Furto,1.7028135341699282
Candeias,Sunday,6,Homicídio,1.7303768160985615
Candeias,Sunday,6,Roubo,1.7252301472727676
Candeias,Sunday,6,Tráfico de drogas,1.6851652458152346
Candeias,Sunday,6,Violência doméstica,1.709198860565491
Candeias,Sunday,6,Vandalismo,1.7326560618213278
Candeias,Sunday,6,Estupro,1.6970792810201356
Candeias,Sunday,6,Lesão corporal,1.709974621677658
Candeias,Sunday,6,Sequestro,1.6939162489299313
Candeias,Sunday,6,Latrocínio,1.7193617996239905
Candeias,Sunday,6,Furto,1.7053081327281494
Candeias,Sunday,7,Homicídio,1.7329117944881494
Candeias,Sunday,7,Roubo,1.7277575858628562
Candeias,Sunday,7,Tráfico de drogas,1.687633989872184
Candeias,Sunday,7,Violência doméstica,1.7117028135396244
Candeias,Sunday,7,Vandalismo,1.7351943792747533
Candeias,Sunday,7,Estupro,1.699565478975852
Candeias,Sunday,7,Lesão corporal,1.71247971113122
Candeias,Sunday,7,Sequestro,1.6963978130868593
Candeias,Sunday,7,Latrocínio,1.7218806411649659
Candeias,Sunday,7,Furto,1.7078063858391688
Candeias,Sunday,8,Homicídio,1.735450486586437
Candeias,Sunday,8,Roubo,1.730288727115941
Candeias,Sunday,8,Tráfico de drogas,1.6901063506054408
Candeias,Sunday,8,Violência doméstica,1.7142104347706482
Candeias,Sunday,8,Vandalismo,1.7377364153285613
Candeias,Sunday,8,Estupro,1.7020553191775991
Candeias,Sunday,8,Lesão corporal,1.7149884705065988
Candeias,Sunday,8,Sequestro,1.6988830127013659
Candeias,Sunday,8,Latrocínio,1.7244031727743783
Candeias,Sunday,8,Furto,1.710308298856857
Candeias,Sunday,9,Homicídio,1.7379928978339567
Candeias,Sunday,9,Roubo,1.7328235764563733
Candeias,Sunday,9,Tráfico de drogas,1.6925823333133863
Candeias,Sunday,9,Violência doméstica,1.716721729632508
Candeias,Sunday,9,Vandalismo,1.7402821754304505
Candeias,Sunday,9,Estupro,1.7045488069612176
Candeias,Sunday,9,Lesão corporal,1.7175009051801797
Candeias,Sunday,9,Sequestro,1.701371853099347
Candeias,Sunday,9,Latrocínio,1.7269293998581274
Candeias,Sunday,9,Furto,1.7128138771429267
Candeias,Sunday,10,Homicídio,1.7405390336792115
Candeias,Sunday,10,Roubo,1.7353621393164498
Candeias,Sunday,10,Tráfico de drogas,1.6950619433021643
Candeias,Sunday,10,Violência doméstica,1.719236703507023
Candeias,Sunday,10,Vandalismo,1.7428316650361007
Candeias,Sunday,10,Estupro,1.707045947670365
Candeias,Sunday,10,Lesão corporal,1.7200170205362246
Candeias,Sunday,10,Sequestro,1.7038643396145006
Candeias,Sunday,10,Latrocínio,1.7294593278300328
Candeias,Sunday,10,Furto,1.7153231260669464
Candeias,Sunday,11,Homicídio,1.7430888995786862
Candeias,Sunday,11,Roubo,1.7379044211364263
Candeias,Sunday,11,Tráfico de drogas,1.6975451858856916
Candeias,Sunday,11,Violência doméstica,1.7217553617838968
Candeias,Sunday,11,Vandalismo,1.7453848896091837
Candeias,Sunday,11,Estupro,1.7095467466565275
Candeias,Sunday,11,Lesão corporal,1.7225368219668826
Candeias,Sunday,11,Sequestro,1.7063604775883383
Candeias,Sunday,11,Latrocínio,1.731992962111845
Candeias,Sunday,11,Furto,1.71783605100635
Candeias,Sunday,12,Homicídio,1.7456425009968588
Candeias,Sunday,12,Roubo,1.7404504273645283
Candeias,Sunday,12,Tráfico de drogas,1.7000320663856692
Candeias,Sunday,12,Violência doméstica,1.7242777098607278
Candeias,Sunday,12,Vandalismo,1.7479418546213759
Candeias,Sunday,12,Estupro,1.7120512092790303
Candeias,Sunday,12,Lesão corporal,1.7250603148722032
Candeias,Sunday,12,Sequestro,1.7088602723701976
Candeias,Sunday,12,Latrocínio,1.7345303081332575
Candeias,Sunday,12,Furto,1.7203526573464503
Candeias,Sunday,13,Homicídio,1.7481998434062136
Candeias,Sunday,13,Roubo,1.7430001634569627
Candeias,Sunday,13,Tráfico de drogas,1.702522590131596
