bairro,dia_semana,hora_dia,pred_count,risco_norm
Aurora,Friday,0,16.129067031778277,0.0709712214308326
Aurora,Friday,1,16.152695894572428,0.07208127644831022
Aurora,Friday,2,16.176359373327678,0.07319295768121924
Aurora,Friday,3,16.20005751875594,0.07430626751194325
Aurora,Friday,4,16.22379038164341,0.07542120832635546
Aurora,Friday,5,16.2475580128507,0.07653778251382498
Aurora,Friday,6,16.271360463312913,0.07765599246722073
Aurora,Friday,7,16.295197784039793,0.07877584058291787
Aurora,Friday,8,16.319070026115792,0.07989732926080136
Aurora,Friday,9,16.34297724070021,0.08102046090427246
Aurora,Friday,10,16.366919479027302,0.08214523792025359
Aurora,Friday,11,16.390896792406366,0.08327166271919274
Aurora,Friday,12,16.41490923222187,0.08439973771506928
Aurora,Friday,13,16.43895684993357,0.08552946532539955
Aurora,Friday,14,16.463039697076606,0.08666084797124105
Aurora,Friday,15,16.487157825261605,0.08779388807719792
Aurora,Friday,16,16.511311286174816,0.08892858807142688
Aurora,Friday,17,16.535500131578203,0.09006495038564144
Aurora,Friday,18,16.55972441330956,0.09120297745511768
Aurora,Friday,19,16.583984183282624,0.09234267171869934
Aurora,Friday,20,16.60827949348718,0.0934840356188029
Aurora,Friday,21,16.632610395989186,0.09462707160142304
Aurora,Friday,22,16.65697694293087,0.09577178211613799
Aurora,Friday,23,16.68137918653085,0.09691816961611423
Aurora,Monday,0,16.19752934342238,0.07418749693298948
Aurora,Monday,1,16.221258502567537,0.07530226375012655
Aurora,Monday,2,16.245022424606578,0.07641866368541732
Aurora,Monday,3,16.268821160466665,0.07753669913135731
Aurora,Monday,4,16.292654761149574,0.07865637248394754
Aurora,Monday,5,16.31652327773179,0.07977768614269858
Aurora,Monday,6,16.34042676136463,0.08090064251063667
Aurora,Monday,7,16.364365263274344,0.08202524399430833
Aurora,Monday,8,16.388338834762234,0.08315149300378574
Aurora,Monday,9,16.412347527204748,0.08427939195267153
Aurora,Monday,10,16.436391392053604,0.08540894325810437
Aurora,Monday,11,16.4604704808359,0.08654014934076419
Aurora,Monday,12,16.484584845154217,0.08767301262487683
Aurora,Monday,13,16.50873453668673,0.0888075355382199
Aurora,Monday,14,16.53291960718733,0.0899437205121276
Aurora,Monday,15,16.55714010848572,0.09108156998149576
Aurora,Monday,16,16.58139609248753,0.09222108638478763
Aurora,Monday,17,16.60568761117444,0.09336227216403843
Aurora,Monday,18,16.630014716604276,0.09450512976486135
Aurora,Monday,19,16.65437746091113,0.09564966163645205
Aurora,Monday,20,16.678775896305474,0.09679587023159432
Aurora,Monday,21,16.70321007507426,0.09794375800666531
Aurora,Monday,22,16.727680049581043,0.09909332742164059
Aurora,Monday,23,16.75218587226609,0.10024458094009965
Aurora,Saturday,0,16.022103963217766,0.06594622755047592
Aurora,Saturday,1,16.04557612657815,0.06704892102058652
Aurora,Saturday,2,16.069082676337107,0.06815322992156228
Aurora,Saturday,3,16.09262366287024,0.06925915661998738
Aurora,Saturday,4,16.116199136626946,0.07036670348591287
Aurora,Saturday,5,16.139809148130542,0.071475872892862
Aurora,Saturday,6,16.163453747978355,0.07258666721783529
Aurora,Saturday,7,16.18713298684184,0.07369908884131549
Aurora,Saturday,8,16.21084691546667,0.07481314014727244
Aurora,Saturday,9,16.234595584672885,0.07592882352316893
Aurora,Saturday,10,16.258379045354957,0.07704614135996514
Aurora,Saturday,11,16.28219734848192,0.07816509605212374
Aurora,Saturday,12,16.306050545097477,0.07928568999761547
Aurora,Saturday,13,16.329938686320123,0.0804079255979244
Aurora,Saturday,14,16.35386182334322,0.08153180525805204
Aurora,Saturday,15,16.37782000743514,0.0826573313865237
Aurora,Saturday,16,16.401813289939362,0.08378450639539302
Aurora,Saturday,17,16.42584172227458,0.08491333270024727
Aurora,Saturday,18,16.449905355934813,0.08604381272021241
Aurora,Saturday,19,16.474004242489524,0.08717594887795854
Aurora,Saturday,20,16.498138433583723,0.08830974359970495
Aurora,Saturday,21,16.522307980938074,0.08944519931522507
Aurora,Saturday,22,16.546512936349014,0.0905823184578521
Aurora,Saturday,23,16.570753351688868,0.09172110346448419
Aurora,Sunday,0,16.003783195129248,0.06508554031732912
Aurora,Sunday,1,16.02722851881474,0.06618697289240466
Aurora,Sunday,2,16.050708189579048,0.06729001905115134
Aurora,Sunday,3,16.07422225774017,0.06839468115744733
Aurora,Sunday,4,16.09777077368982,0.06950096157863332
Aurora,Sunday,5,16.121353787893543,0.07060886268551896
Aurora,Sunday,6,16.144971350890806,0.07171838685238638
Aurora,Sunday,7,16.16862351329512,0.07282953645699636
Aurora,Sunday,8,16.192310325794146,0.07394231388059305
Aurora,Sunday,9,16.216031839149796,0.07505672150790887
Aurora,Sunday,10,16.239788104198354,0.07617276172717018
Aurora,Sunday,11,16.26357917185057,0.07729043693010158
Aurora,Sunday,12,16.287405093091788,0.07840974951193215
Aurora,Sunday,13,16.311265918982038,0.07953070187139939
Aurora,Sunday,14,16.33516170065615,0.0806532964107551
Aurora,Sunday,15,16.359092489323878,0.08177753553577054
Aurora,Sunday,16,16.383058336269983,0.08290342165574113
